date,base,quote,rate
2025-09-11,USD,LKR,301.73
2025-09-12,USD,LKR,301.12
2025-09-15,USD,LKR,301.11
2025-09-16,USD,LKR,301.06
2025-09-17,USD,LKR,301.36
2025-09-18,USD,LKR,301.57
2025-09-19,USD,LKR,302.04
2025-09-22,USD,LKR,301.96
2025-09-23,USD,LKR,301.56
2025-09-24,USD,LKR,302.08
2025-09-25,USD,LKR,302.01
2025-09-26,USD,LKR,302.39
2025-09-29,USD,LKR,302.17
2025-09-30,USD,LKR,301.91
2025-10-01,USD,LKR,302.06
2025-10-02,USD,LKR,301.77
2025-10-03,USD,LKR,301.83
2025-10-06,USD,LKR,302.01
2025-10-07,USD,LKR,301.96
2025-10-08,USD,LKR,302.01
2025-10-09,USD,LKR,302.12
2025-10-10,USD,LKR,302.25
2025-10-13,USD,LKR,302.76
2025-10-14,USD,LKR,301.94
2025-10-15,USD,LKR,302.2
2025-10-16,USD,LKR,302.19
2025-10-17,USD,LKR,301.99
2025-10-20,USD,LKR,302.07
2025-10-21,USD,LKR,302.17
2025-10-22,USD,LKR,302.59
2025-10-23,USD,LKR,302.65
2025-10-24,USD,LKR,303.0
2025-10-27,USD,LKR,303.19
2025-10-28,USD,LKR,303.3
2025-10-29,USD,LKR,305.03
2025-10-30,USD,LKR,303.64
2025-10-31,USD,LKR,303.88
2025-11-03,USD,LKR,303.93
2025-11-04,USD,LKR,305.54
2025-11-05,USD,LKR,303.79
2025-11-06,USD,LKR,305.35
2025-11-07,USD,LKR,305.31
2025-11-10,USD,LKR,303.33
2025-11-11,USD,LKR,303.22
2025-11-12,USD,LKR,303.46
2025-11-13,USD,LKR,305.14
2025-11-14,USD,LKR,304.96
2025-11-17,USD,LKR,305.35
2025-11-18,USD,LKR,308.01
2025-11-19,USD,LKR,308.42
2025-11-20,USD,LKR,308.65
2025-11-21,USD,LKR,308.8
2025-11-24,USD,LKR,306.78
2025-11-25,USD,LKR,308.84
2025-11-26,USD,LKR,307.12
2025-11-27,USD,LKR,308.32
2025-11-28,USD,LKR,308.69
2025-12-01,USD,LKR,307.08
2025-12-02,USD,LKR,308.9
2025-12-03,USD,LKR,309.47
2025-12-04,USD,LKR,309.28
2025-12-05,USD,LKR,308.98
2025-12-08,USD,LKR,307.54
2025-12-09,USD,LKR,309.28
2025-12-10,USD,LKR,309.53
2025-12-11,USD,LKR,309.17
2025-12-12,USD,LKR,309.16
2025-12-15,USD,LKR,309.4
2025-12-16,USD,LKR,309.54
2025-12-17,USD,LKR,310.1
2025-12-18,USD,LKR,309.79
2025-12-19,USD,LKR,310.02
